title,description
Kritik sastra feminis,Kritik sastra feminis
Sedikit tentang bahasa Bali di Kabupaten Bangli,Sedikit tentang bahasa Bali di Kabupaten Bangli
"Sastra Madura modern, cerkan dan puisi","Sastra Madura modern, cerkan dan puisi"
Laporan penelitian lanjutan (inventarisasi) karya-karya sastra Indonesia di Sulawesi Selatan periode 1945-1975 dan 1976-1978,Laporan penelitian lanjutan (inventarisasi) karya-karya sastra Indonesia di Sulawesi Selatan periode 1945-1975 dan 1976-1978
"Seminar Nasional, Masyarakat Poetika Indonesia","Seminar Nasional, Masyarakat Poetika Indonesia"
Wacana hedonisme dalam sastra populer Indonesia,Wacana hedonisme dalam sastra populer Indonesia
Hubungan antara kecerdasan emosi dengan kemampuan berbahasa pada mahasiswa program studi pendidikan bahasa dan sastra Indonesia,Hubungan antara kecerdasan emosi dengan kemampuan berbahasa pada mahasiswa program studi pendidikan bahasa dan sastra Indonesia
Jaket kuning Sukirnanto,Jaket kuning Sukirnanto
Penggunaan bahasa Indonesia dalam beberapa surat kabar yang terbit di Semarang,Penggunaan bahasa Indonesia dalam beberapa surat kabar yang terbit di Semarang
Psikoanalisis dan sastra,Psikoanalisis dan sastra
Laporan pelaksanaan program kegiatan Pelita III (1979/1980-1983/1984) Proyek Penelitian Bahasa dan Sastra Indonesia dan Daerah,Laporan pelaksanaan program kegiatan Pelita III (1979/1980-1983/1984) Proyek Penelitian Bahasa dan Sastra Indonesia dan Daerah
Pembelajaran bahasa dan sastra Indonesia dengan pendekatan contextual teaching and learning (CTL) di sekolah menengah pertama,Pembelajaran bahasa dan sastra Indonesia dengan pendekatan contextual teaching and learning (CTL) di sekolah menengah pertama
Aspek kekerasan berupa pelanggaran HAM di eks Timor-Timur dalam karya sastra Indonesia sebagai refleksi kondisi sosial politik,Aspek kekerasan berupa pelanggaran HAM di eks Timor-Timur dalam karya sastra Indonesia sebagai refleksi kondisi sosial politik
"Peningkatan kemampuan mengembangkan gagasan dalam menulis wacana ilmiah dengan pendekatan kontekstual bagi mahasiswa Program Studi Pendidikan Bahasa dan Sastra Indonesia, Universitas Muhammadiyah Malang","Peningkatan kemampuan mengembangkan gagasan dalam menulis wacana ilmiah dengan pendekatan kontekstual bagi mahasiswa Program Studi Pendidikan Bahasa dan Sastra Indonesia, Universitas Muhammadiyah Malang"
"Pertemuan Ilmiah Bahasa dan Sastra Indonesia XI PTN PTS se-Jawa Tengah dan Daerah Istimewa Yogyakarta, Kaliurang, 16-17 Oktober 1989","Pertemuan Ilmiah Bahasa dan Sastra Indonesia XI PTN PTS se-Jawa Tengah dan Daerah Istimewa Yogyakarta, Kaliurang, 16-17 Oktober 1989"
Struktur bahasa Bakumpai,Struktur bahasa Bakumpai
Bias gender dalam sastra anak terjemahan di Indonesia,Bias gender dalam sastra anak terjemahan di Indonesia
"Penggarapan unsur-unsur intrinsik prosa fiksi mahasiswa Program Studi  Pendidikan Bahasa dan Sastra Indonesia, FKIP, Universitas Lampung tahun akademik 1993/1994","Penggarapan unsur-unsur intrinsik prosa fiksi mahasiswa Program Studi  Pendidikan Bahasa dan Sastra Indonesia, FKIP, Universitas Lampung tahun akademik 1993/1994"
"Majalah sebagai media latihan penulisan karya jurnalistik dalam pengajaran kemampuan ekspresi tulis di Jurusan Bahasa dan Sastra Indonesia FKSS, IKIP Yogyakarta","Majalah sebagai media latihan penulisan karya jurnalistik dalam pengajaran kemampuan ekspresi tulis di Jurusan Bahasa dan Sastra Indonesia FKSS, IKIP Yogyakarta"
Sastra peranakan Tionghoa Indonesia,Sastra peranakan Tionghoa Indonesia
Karya sastra dan sastrawan Indonesia,Karya sastra dan sastrawan Indonesia
"""Sasanasunu"" dan ""gurindam dua belas""","""Sasanasunu"" dan ""gurindam dua belas"""
"Bahasa Indonesia, negara, dan era globalisasi","Bahasa Indonesia, negara, dan era globalisasi"
Bibliografi bahasa Indonesia,Bibliografi bahasa Indonesia
Pemilihan dan penerapan teknik dan alat pengumpulan data dalam penelitian bahasa,Pemilihan dan penerapan teknik dan alat pengumpulan data dalam penelitian bahasa
Interferensi gramatikal bahasa Makassar murid dalam pemakaian bahasa Indonesia,Interferensi gramatikal bahasa Makassar murid dalam pemakaian bahasa Indonesia
Sastra bukan penjara bagi bahasa,Sastra bukan penjara bagi bahasa
Struktur bahasa pesisir timur Kalimantan Selatan,Struktur bahasa pesisir timur Kalimantan Selatan
Penyerapan istilah olah raga oleh bahasa Indonesia,Penyerapan istilah olah raga oleh bahasa Indonesia
Ekologi sastra lakon Indonesia,Ekologi sastra lakon Indonesia
Sastra terjemahan Prancis-Indonesia,Sastra terjemahan Prancis-Indonesia
"H.B. Jassin, pelopor kritik sastra modern Indonesia","H.B. Jassin, pelopor kritik sastra modern Indonesia"
"Kutai, perbendaharaan kebudayaan Kalimantan Timur","Kutai, perbendaharaan kebudayaan Kalimantan Timur"
Adat istiadat daerah Jawa Barat,Adat istiadat daerah Jawa Barat
Punika sajarah sadaya kang tedak saking Kangjeng Nabi Adam,Punika sajarah sadaya kang tedak saking Kangjeng Nabi Adam
Dari Swapraja ke Kabupaten Kutai,Dari Swapraja ke Kabupaten Kutai
Sistem perulangan bahasa Aceh,Sistem perulangan bahasa Aceh
Wulang dalem warni-warni,Wulang dalem warni-warni
"Kumpulan seni tradisional Gayo, didong","Kumpulan seni tradisional Gayo, didong"
Geguritan I Wayan Mangkak dan Ni Ketut Layang,Geguritan I Wayan Mangkak dan Ni Ketut Layang
Wawacan Babad Timbanganten,Wawacan Babad Timbanganten
Wawacan Keyan Santang,Wawacan Keyan Santang
Pergumulan estetika sastra di Indonesia,Pergumulan estetika sastra di Indonesia
Babad Trunajaya-Surapati,Babad Trunajaya-Surapati
Pemakaian kosa kata murid kelas VI sekolah dasar yang berbahasa ibu bahasa Bugis,Pemakaian kosa kata murid kelas VI sekolah dasar yang berbahasa ibu bahasa Bugis
Hujur ni si Bagas Marhusor,Hujur ni si Bagas Marhusor
Karena aku tak lahir dari batu,Karena aku tak lahir dari batu
"Hari Chairil Anwar, tahun 1982","Hari Chairil Anwar, tahun 1982"
"Babad Pangeran Dipanegara, ing Nagari Ngayogyakarta Adiningrat","Babad Pangeran Dipanegara, ing Nagari Ngayogyakarta Adiningrat"
Pranacitra-Rara Mendut,Pranacitra-Rara Mendut
"Babad Jaka Tingkir, Babad Pajang","Babad Jaka Tingkir, Babad Pajang"
Sastra Jendra Hayuningrat,Sastra Jendra Hayuningrat
Fakultas Sastra Universitas Indonesia,Fakultas Sastra Universitas Indonesia
Postkolonialisme Indonesia,Postkolonialisme Indonesia
"BAHASA, SASTRA, DAN BUDAYA INDONESIA DALAM JEBAKAN KAPITALISME","BAHASA, SASTRA, DAN BUDAYA INDONESIA DALAM JEBAKAN KAPITALISME"
Hukum kepegawaian di Indonesia,Hukum kepegawaian di Indonesia
Beberapa aspek tentang sastra,Beberapa aspek tentang sastra
Pedoman penelitian sastra anak,Pedoman penelitian sastra anak
Komunitas sastra di Indonesia,Komunitas sastra di Indonesia
"Kosa kata dasar bahasa Indonesia murid kelas III sekolah dasar di lima kota Jawa Barat, 1975/1976","Kosa kata dasar bahasa Indonesia murid kelas III sekolah dasar di lima kota Jawa Barat, 1975/1976"
Carita Badak Pamalang,Carita Badak Pamalang
Geguritan Bagawan Dwala,Geguritan Bagawan Dwala
Bhujangga Waisnawa dan sang trini,Bhujangga Waisnawa dan sang trini
Kosa kata bahasa Indonesia murid sekolah dasar kelas I di Sumatra Barat,Kosa kata bahasa Indonesia murid sekolah dasar kelas I di Sumatra Barat
"Katalog bidang bahasa dan sastra, Perpustakaan Fakultas Sastra, Universitas Indonesia","Katalog bidang bahasa dan sastra, Perpustakaan Fakultas Sastra, Universitas Indonesia"
"Katalog sementara naskah-naskah Jawa, Fakultas Sastra, Universitas Indonesia","Katalog sementara naskah-naskah Jawa, Fakultas Sastra, Universitas Indonesia"
Kajian perempuan Malaysia-Indonesia dalam sastra,Kajian perempuan Malaysia-Indonesia dalam sastra
Sastra Minangkabau lama dari Museum Nasional,Sastra Minangkabau lama dari Museum Nasional
Beberapa karya dalam ilmu-ilmu sastra,Beberapa karya dalam ilmu-ilmu sastra
Struktur sastra lisan Kerinci,Struktur sastra lisan Kerinci
Bahan-bahan pengarahan,Bahan-bahan pengarahan
Dari Mozasa hingga dukun Tengger,Dari Mozasa hingga dukun Tengger
Langit terbakar saat anak-anak itu lapar,Langit terbakar saat anak-anak itu lapar
Bibliografi skripsi Universitas Indonesia,Bibliografi skripsi Universitas Indonesia
"Kamus pelajar Bali, Indonesia, Jepang","Kamus pelajar Bali, Indonesia, Jepang"
Landasan baru Bahasa Indonesia,Landasan baru Bahasa Indonesia
"Asmaraman S. Kho Ping Hoo, maestro sastra silat Tionghoa-Indonesia","Asmaraman S. Kho Ping Hoo, maestro sastra silat Tionghoa-Indonesia"
Cara-cara pengalihan pesan dalam penerjemahan karya sastra Sunda ke dalam bahasa Indonesia,Cara-cara pengalihan pesan dalam penerjemahan karya sastra Sunda ke dalam bahasa Indonesia
Daftar karya tulis warga Fakultas Sastra Universitas Indonesia,Daftar karya tulis warga Fakultas Sastra Universitas Indonesia
"Fakultas Sastra, Universitas Indonesia manuscript collection","Fakultas Sastra, Universitas Indonesia manuscript collection"
Wawasan antologi esai pengajaran bahasa dan sastra,Wawasan antologi esai pengajaran bahasa dan sastra
Bibliografi sastra Melayu,Bibliografi sastra Melayu
Matinya sastra feminis,Matinya sastra feminis
Pengkajian sastra Jawa,Pengkajian sastra Jawa
Keindonesiaan dan kemelayuan dalam sastra,Keindonesiaan dan kemelayuan dalam sastra
Ancient wisdom for modern leaders =,Ancient wisdom for modern leaders =
"Alih aksara lontar Widi sastra bebantenan, tahun 1993","Alih aksara lontar Widi sastra bebantenan, tahun 1993"
Identitas Madura dalam bahasa dan sastra,Identitas Madura dalam bahasa dan sastra
Menyoal sastra marginal,Menyoal sastra marginal
Pembinaan bahasa Indonesia dalam pers,Pembinaan bahasa Indonesia dalam pers
Keberadaan sastra dalam buku ajar bahasa Indonesia sekolah dasar,Keberadaan sastra dalam buku ajar bahasa Indonesia sekolah dasar
Wajah profesi dokter dalam karya sastra,Wajah profesi dokter dalam karya sastra
Antologi hasil penelitian bahasa dan sastra,Antologi hasil penelitian bahasa dan sastra
Studi Belanda di Indonesia,Studi Belanda di Indonesia
Mengantar sastra ke tengah siswa,Mengantar sastra ke tengah siswa
Minat membaca sastra murid SPG kelas III Kotamadya Padang,Minat membaca sastra murid SPG kelas III Kotamadya Padang
Struktur sastra lisan Kaili,Struktur sastra lisan Kaili
"Peranan karya sastra, seni, dan budaya dalam pendidikan karakter","Peranan karya sastra, seni, dan budaya dalam pendidikan karakter"
Wanita-wanita korban peradaban priyayi Jawa dalam beberapa karya naratif Indonesia,Wanita-wanita korban peradaban priyayi Jawa dalam beberapa karya naratif Indonesia
Mutiara yang terlupakan,Mutiara yang terlupakan
Sastra dan budaya di perguruan tinggi,Sastra dan budaya di perguruan tinggi
Ganda verba dalam bahasa Indonesia,Ganda verba dalam bahasa Indonesia
Temu Sastra NTB-Bali 1987,Temu Sastra NTB-Bali 1987
Unsur ajaran dalam sastra Jawa,Unsur ajaran dalam sastra Jawa
Who's who in Yudhoyono's Indonesia,Who's who in Yudhoyono's Indonesia
Nilai budaya dalam beberapa karya sastra Nusantara,Nilai budaya dalam beberapa karya sastra Nusantara
"Telaah sastra ""Kolotido"" karya Ronggowarsito","Telaah sastra ""Kolotido"" karya Ronggowarsito"
Sastra lisan Kayu Agung,Sastra lisan Kayu Agung
"Pertemuan Ilmiah I Fakultas-Fakultas Sastra dan FKSS-IKIP Negeri se Jawa Tengah dan Daerah Istimewa Yogyakarta di Semarang, 26 s/d 27 Pebruari 1979","Pertemuan Ilmiah I Fakultas-Fakultas Sastra dan FKSS-IKIP Negeri se Jawa Tengah dan Daerah Istimewa Yogyakarta di Semarang, 26 s/d 27 Pebruari 1979"
Peranan bahasa Indonesia dalam pengembangan pariwisata di Sulawesi Utara,Peranan bahasa Indonesia dalam pengembangan pariwisata di Sulawesi Utara
Sastra yang membebaskan,Sastra yang membebaskan
Pembinaan minat-batja aprésiasi dan penelitian sastra,Pembinaan minat-batja aprésiasi dan penelitian sastra
Bacaan sastra daerah Jayapura,Bacaan sastra daerah Jayapura
Penggalian akar dan konflik ideologi sastra,Penggalian akar dan konflik ideologi sastra
Panorama sastra Nusantara,Panorama sastra Nusantara
Sastra lisan Melayu Riau,Sastra lisan Melayu Riau
Yang tersirat dan tersurat,Yang tersirat dan tersurat
Pemakaian bahasa daerah dalam karya sastra modern Indonesia warna lokal Jawa,Pemakaian bahasa daerah dalam karya sastra modern Indonesia warna lokal Jawa
Kamus acuan dwibahasa,Kamus acuan dwibahasa
Laporan Seminar Nasional Setengah Abad Budaya Indonesia dalam rangka lustrum VI Fakultas Sastra Undip dan 50 tahun Indonesia merdeka,Laporan Seminar Nasional Setengah Abad Budaya Indonesia dalam rangka lustrum VI Fakultas Sastra Undip dan 50 tahun Indonesia merdeka
Tradisi dan kreativitas sastra dalam menjawab tantangan zaman,Tradisi dan kreativitas sastra dalam menjawab tantangan zaman
Semanyun Senyuman Mahasiswa,Semanyun Senyuman Mahasiswa
Negeri sembilan matahari,Negeri sembilan matahari
Bahasa Indonesia tahun 2000,Bahasa Indonesia tahun 2000
Citra Gajah Mada dalam karya-karya sastra,Citra Gajah Mada dalam karya-karya sastra
Puisi² Melayu di Malaysia,Puisi² Melayu di Malaysia
Politik bahasa Indonesia,Politik bahasa Indonesia
Sastra lisan Ngadha di Bajawa,Sastra lisan Ngadha di Bajawa
Pengantar sintaksis Indonesia,Pengantar sintaksis Indonesia
Guru bahasa Indonesia harus bisa menulis,Guru bahasa Indonesia harus bisa menulis
Seminar Sehari Unsur Agama Dalam Karya Sastra,Seminar Sehari Unsur Agama Dalam Karya Sastra
Erotisme dalam sastra Jawa klasik,Erotisme dalam sastra Jawa klasik
Sastra lisan Massenrempulu,Sastra lisan Massenrempulu
Sastra dan pembangunan karakter manusia,Sastra dan pembangunan karakter manusia
Sastra lisan Simalungun,Sastra lisan Simalungun
20 cerpen Indonesia terbaik 2009,20 cerpen Indonesia terbaik 2009
Tentang kritik sastra,Tentang kritik sastra
Aplikasi bahasa Indonesia,Aplikasi bahasa Indonesia
"Pemakaian kosakata bahasa Indonesia murid kelas III sekolah dasar, Sumatera Barat","Pemakaian kosakata bahasa Indonesia murid kelas III sekolah dasar, Sumatera Barat"
Abstraksi skripsi sarjana,Abstraksi skripsi sarjana
Bunga rampai sastra Betawi,Bunga rampai sastra Betawi
Kajian sastra dalam perspektif teori kontemporer,Kajian sastra dalam perspektif teori kontemporer
Bentuk-bentuk dominasi Barat mutakhir di Indonesia,Bentuk-bentuk dominasi Barat mutakhir di Indonesia
"Sejarah, teori, dan penerapan kritik sastra","Sejarah, teori, dan penerapan kritik sastra"
"Ungkapan, peribahasa, dan paseng sastra Bugis","Ungkapan, peribahasa, dan paseng sastra Bugis"
"Keadaan dan perkembangan bahasa, sastra, etika, tatakrama, dan seni pertunjukan Jawa, Bali dan Sunda","Keadaan dan perkembangan bahasa, sastra, etika, tatakrama, dan seni pertunjukan Jawa, Bali dan Sunda"
Perkembangan kebudayaan Indonesia,Perkembangan kebudayaan Indonesia
Kelong dalam sastra Makasar,Kelong dalam sastra Makasar
Resepsi sastra penulis-penulis Prancis dalam media-media cetak Indonesia pada tahun 2000-2005,Resepsi sastra penulis-penulis Prancis dalam media-media cetak Indonesia pada tahun 2000-2005
Sastra lisan Dayak Ngaju,Sastra lisan Dayak Ngaju
Sarasehan Bahasa dan Sastra Jawa tanggal 2 Agustus 1989,Sarasehan Bahasa dan Sastra Jawa tanggal 2 Agustus 1989
"Temu Sastra Dialog Utara II, Medan 25-27 Oktober 1984","Temu Sastra Dialog Utara II, Medan 25-27 Oktober 1984"
Kata serapan bahasa Jepang dalam bahasa Indonesia,Kata serapan bahasa Jepang dalam bahasa Indonesia
Kesalahan-kesalahan pemakaian ejaan bahasa Indonesia yang disempurnakan dalam surat-surat keluar di fakultas-fakultas Universitas Padjadjaran,Kesalahan-kesalahan pemakaian ejaan bahasa Indonesia yang disempurnakan dalam surat-surat keluar di fakultas-fakultas Universitas Padjadjaran
Laporan hasil penelitian sastra lisan (kaba) Minangkabau,Laporan hasil penelitian sastra lisan (kaba) Minangkabau
"M. Husseyn Umar, antara kampus, birokrasi, hukum, dan sastra","M. Husseyn Umar, antara kampus, birokrasi, hukum, dan sastra"
"Sanggar Kerja Penelitian Bahasa dan Sastra, 27-30 Maret 1975","Sanggar Kerja Penelitian Bahasa dan Sastra, 27-30 Maret 1975"
Tarian cahaya di Bumi Sanggam,Tarian cahaya di Bumi Sanggam
Dari peristiwa ke imajinasi,Dari peristiwa ke imajinasi
Pramoedya Ananta Toer dan sastra realisme sosialis,Pramoedya Ananta Toer dan sastra realisme sosialis
Hasil Sarasehan Sastra Jawa di Surakarta tanggal 23-26 Januari 1983,Hasil Sarasehan Sastra Jawa di Surakarta tanggal 23-26 Januari 1983
Fungsi dan kedudukan sastra lisan Melayu Serdang,Fungsi dan kedudukan sastra lisan Melayu Serdang
Diskusi Bahasa & Sastra Nasional,Diskusi Bahasa & Sastra Nasional
Negara dan nasionalisme Indonesia,Negara dan nasionalisme Indonesia
"Kamus istilah militer, Inggeris - Indonesia","Kamus istilah militer, Inggeris - Indonesia"
Sastra lisan Minahasa,Sastra lisan Minahasa
Sastra lisan Mentawai,Sastra lisan Mentawai
Sastra lisan [nama daerah],Sastra lisan [nama daerah]
"Simposium Sastra Tumasik-Lingga, Singapura-Riau, Pekanbaru, 10 September 1985","Simposium Sastra Tumasik-Lingga, Singapura-Riau, Pekanbaru, 10 September 1985"
Sajak dari bumi Melayu,Sajak dari bumi Melayu
Bantul sangsaya pinunjul,Bantul sangsaya pinunjul
"Filmisasi puisi, inovasi tiada henti","Filmisasi puisi, inovasi tiada henti"
Bulir-bulir sastra & bahasa,Bulir-bulir sastra & bahasa
Struktur dan isi mantra bahasa Jawa di Jawa Timur,Struktur dan isi mantra bahasa Jawa di Jawa Timur
Karya sastra Jawa kuna sebagai sumber ide karya tari,Karya sastra Jawa kuna sebagai sumber ide karya tari
Prosiding Seminar Nasional Pengaruh Karya Sastra R. Ng. Ronggawarsita Terhadap Ipoleksosbud,Prosiding Seminar Nasional Pengaruh Karya Sastra R. Ng. Ronggawarsita Terhadap Ipoleksosbud
Struktur sastra lisan Sentani,Struktur sastra lisan Sentani
Laporan Seminar Sastra Jawa Abad ke-18 Masehi,Laporan Seminar Sastra Jawa Abad ke-18 Masehi
Ajak-ajak macak susastra,Ajak-ajak macak susastra
Ensiklopedia sastra di Jawa Barat,Ensiklopedia sastra di Jawa Barat
Ensiklopedia sastra Riau,Ensiklopedia sastra Riau
Ensiklopedia sastra Lampung,Ensiklopedia sastra Lampung
Revitalisasi sastra Melayu,Revitalisasi sastra Melayu
Perdebatan sastra kontekstual,Perdebatan sastra kontekstual
Apresiasi sastra Bali,Apresiasi sastra Bali
"Wanita, budaya sastra","Wanita, budaya sastra"
Ensiklopedi sastra Jawa,Ensiklopedi sastra Jawa
"Seminar Nasional Sastra Arab dan Islam, Depok, 25-26 Januari, 1993","Seminar Nasional Sastra Arab dan Islam, Depok, 25-26 Januari, 1993"
Pengarang sastra Jawa modern,Pengarang sastra Jawa modern
Sastra lisan Minangkabau,Sastra lisan Minangkabau
Pemakaian buku pelajaran bahasa Indonesia sekolah dasar di Sumatra Barat,Pemakaian buku pelajaran bahasa Indonesia sekolah dasar di Sumatra Barat
Indeks terjemahan karya sastra terbitan internasional dan regional =,Indeks terjemahan karya sastra terbitan internasional dan regional =
"Sureq, lontaraq, toloq","Sureq, lontaraq, toloq"
"Seminar Kesusastraan Majelis Sastra Asia Tenggara (Mastera), Jakarta, 16-17 Februari 1998","Seminar Kesusastraan Majelis Sastra Asia Tenggara (Mastera), Jakarta, 16-17 Februari 1998"
Undang-Undang Pensiun,Undang-Undang Pensiun
Struktur sastra lisan Toraja,Struktur sastra lisan Toraja
Titik balik historiografi di Indonesia,Titik balik historiografi di Indonesia
"Seminar Nasional Sastra dan Sejarah Pakuan Pajajaran, Bogor, 11-13 Nopember 1991","Seminar Nasional Sastra dan Sejarah Pakuan Pajajaran, Bogor, 11-13 Nopember 1991"
"Seminar Sastra se-Daerah Istimewa Yogyakarta-Jawa Tengah, Yogyakarta, 14 September 1989","Seminar Sastra se-Daerah Istimewa Yogyakarta-Jawa Tengah, Yogyakarta, 14 September 1989"
Kegiatan apresiasi sastra murid sekolah pendidikan guru DKI Jakarta,Kegiatan apresiasi sastra murid sekolah pendidikan guru DKI Jakarta
Penggunaan konjungsi dalam bahasa Indonesia dan pengaruh asing,Penggunaan konjungsi dalam bahasa Indonesia dan pengaruh asing
Struktur sastra lisan Musi,Struktur sastra lisan Musi
Bunga rampai sastra Riau,Bunga rampai sastra Riau
Struktur sastra lisan Waropen,Struktur sastra lisan Waropen
Struktur sastra lisan Balantak,Struktur sastra lisan Balantak
Struktur sastra lisan lamut,Struktur sastra lisan lamut
Sastra Melayu lintas daerah,Sastra Melayu lintas daerah
Pengajaran sastra dan budaya,Pengajaran sastra dan budaya
Sastra lisan Bolaang Mongondow,Sastra lisan Bolaang Mongondow
Kebinet dalam sastra Gayo,Kebinet dalam sastra Gayo
Pengantar sastra rakyat minangkabau,Pengantar sastra rakyat minangkabau
Struktur sastra lisan Bugis,Struktur sastra lisan Bugis
Ensiklopedia sastra Jawa Timur,Ensiklopedia sastra Jawa Timur
Struktur sastra lisan Serawai,Struktur sastra lisan Serawai
Bunga rampai sastra Bugis,Bunga rampai sastra Bugis
Pengantar sastra rakyat Minangkabau,Pengantar sastra rakyat Minangkabau
"Bahasa, sastra, dan wanita","Bahasa, sastra, dan wanita"
Struktur sastra lisan Simeulue,Struktur sastra lisan Simeulue
Sastra dalam empat orba,Sastra dalam empat orba
Sastra lisan Melayu Deli,Sastra lisan Melayu Deli
Sastra lisan Melayu Langkat,Sastra lisan Melayu Langkat
Laporan penelitian sastra klasik dan modern cermin masyarakat sosial Bali,Laporan penelitian sastra klasik dan modern cermin masyarakat sosial Bali
Glosarium istilah sastra Jawa,Glosarium istilah sastra Jawa
Struktur sastra lisan Lampung,Struktur sastra lisan Lampung
Struktur sastra lisan Tontemboan,Struktur sastra lisan Tontemboan
Ensiklopedia sastra Kalimantan Selatan,Ensiklopedia sastra Kalimantan Selatan
Struktur sastra lisan Alas,Struktur sastra lisan Alas
Struktur sastra lisan Mandar,Struktur sastra lisan Mandar
Ensiklopedia sastra di Bali,Ensiklopedia sastra di Bali
Struktur sastra lisan Mori,Struktur sastra lisan Mori
Bahasa dan sastra Using,Bahasa dan sastra Using
Bunga rampai hasil penelitian bahasa dan sastra,Bunga rampai hasil penelitian bahasa dan sastra
Katemu ring Tampaksiring,Katemu ring Tampaksiring
Bahasa Melayu dan kreativitas sastra di daerah Riau,Bahasa Melayu dan kreativitas sastra di daerah Riau
Pesona perempuan dalam sastra & seni pertunjukan,Pesona perempuan dalam sastra & seni pertunjukan
Sastra lisan Tetun Belu,Sastra lisan Tetun Belu
"Penguasaan morfologis bahasa Indonesia oleh mahasiswa Jepang tingkat lanjut di UPT Pusat Pelayanan Kebahasaan, Fakultas Sastra Unpad tahun ajaran 2000/2001","Penguasaan morfologis bahasa Indonesia oleh mahasiswa Jepang tingkat lanjut di UPT Pusat Pelayanan Kebahasaan, Fakultas Sastra Unpad tahun ajaran 2000/2001"
Geguritan sebuah bentuk sastra yang mempunyai pengaruh besar dalam masyarakat Bali,Geguritan sebuah bentuk sastra yang mempunyai pengaruh besar dalam masyarakat Bali
Mengenal Antologi Puisi Indonesia Modern : Kumpulan Esai : Buku Utama Sastratama,Mengenal Antologi Puisi Indonesia Modern : Kumpulan Esai : Buku Utama Sastratama
"Menggugat wanita, sastra dan budaya kita","Menggugat wanita, sastra dan budaya kita"
Ritumpanna wélenrénngé,Ritumpanna wélenrénngé
Struktur sastra lisan Batak Toba,Struktur sastra lisan Batak Toba
Frekuensi kosakata bahasa Indonesia,Frekuensi kosakata bahasa Indonesia
Sastra daerah di Sumatra,Sastra daerah di Sumatra
"Sastra, tata nilai, dan eksegesis","Sastra, tata nilai, dan eksegesis"
Sastra lisan Bugis dan terjemahannya,Sastra lisan Bugis dan terjemahannya
Sekilas soal sastra dan budaya,Sekilas soal sastra dan budaya
Beberapa etika dalam sastra Makasar,Beberapa etika dalam sastra Makasar
Struktur sastra lisan daerah Jambi,Struktur sastra lisan daerah Jambi
Sastra lisan bahasa Melayu Belitung,Sastra lisan bahasa Melayu Belitung
Sastra lisan bahasa Jawa Tengger,Sastra lisan bahasa Jawa Tengger
Idea keagamaan dalam sastra Bugis,Idea keagamaan dalam sastra Bugis
Humor dalam sastra Jawa modern,Humor dalam sastra Jawa modern
Peran wanita dalam sastra Jawa pertengahan,Peran wanita dalam sastra Jawa pertengahan
Struktur sastra lisan Melayu Serdang,Struktur sastra lisan Melayu Serdang
"Passomba tedong, sastra lisan Toraja","Passomba tedong, sastra lisan Toraja"
Appresiasi sastra Gayo,Appresiasi sastra Gayo
Struktur sastra lisan Dayak Sangen,Struktur sastra lisan Dayak Sangen
Beberapa masalah linguistik Indonesia,Beberapa masalah linguistik Indonesia
Seputar masalah bahasa dan sastra,Seputar masalah bahasa dan sastra
Pemakaian bahasa Indonesia sebagai bahasa pengantar di sekolah dasar di Sulawesi Selatan,Pemakaian bahasa Indonesia sebagai bahasa pengantar di sekolah dasar di Sulawesi Selatan
Tata bahasa acuan bahasa Indonesia untuk penutur asing,Tata bahasa acuan bahasa Indonesia untuk penutur asing
Citra wanita dalam sastra Bali,Citra wanita dalam sastra Bali
Roman sacuwil sastra Jawa modern,Roman sacuwil sastra Jawa modern
Laporan mengenai patung Ganesya Tambaksari dan pembacaan kembali prasasti Kawali,Laporan mengenai patung Ganesya Tambaksari dan pembacaan kembali prasasti Kawali
"Laporan penelitian linguistik, ethnolinguistik didaerah Bogor Utara/Bogor Timur","Laporan penelitian linguistik, ethnolinguistik didaerah Bogor Utara/Bogor Timur"
Laporan penelitian nilai anak pada masyarakat Sunda,Laporan penelitian nilai anak pada masyarakat Sunda
Pengembangan ilmu bahasa dan pembinaan bangsa,Pengembangan ilmu bahasa dan pembinaan bangsa
"Calakan aksara, basa, sastra, katut budaya Sunda","Calakan aksara, basa, sastra, katut budaya Sunda"
Bahasa dan sastra dalam perspektif pendidikan,Bahasa dan sastra dalam perspektif pendidikan
Percik-percik bahasa dan sastra Jawa,Percik-percik bahasa dan sastra Jawa
Sastra Jawa modern pasca tahun 1980,Sastra Jawa modern pasca tahun 1980
"Bunga rampai bahasa, sastra, dan budaya","Bunga rampai bahasa, sastra, dan budaya"
Apresiasi sastra dalam pembentukan pikiran kritis,Apresiasi sastra dalam pembentukan pikiran kritis
Humor di dalam sastra klasik Bali,Humor di dalam sastra klasik Bali
Pengarang wanita dalam sastra Jawa modern,Pengarang wanita dalam sastra Jawa modern
Nilai-nilai religius dalam sastra Lampung,Nilai-nilai religius dalam sastra Lampung
Sastra sinetron dalam ideologi budaya populer,Sastra sinetron dalam ideologi budaya populer
Nilai dan manfaat sastra daerah Jambi,Nilai dan manfaat sastra daerah Jambi
Sardjana sastra dan pembangunan kebudajaan nasional (sebuah prasaran),Sardjana sastra dan pembangunan kebudajaan nasional (sebuah prasaran)
Sastra hulu yang berabjad ka ga nga,Sastra hulu yang berabjad ka ga nga
"Bahasa, sastra, budaya","Bahasa, sastra, budaya"
Urang Sunda di lingkungan Indonesia,Urang Sunda di lingkungan Indonesia
